CxN Type	Number	P/H/R	Annotation Targets - Gold Standard Relation
let-alone	31	premise	"Beecher's reputation as a preacher, let alone as a Man of God, was not universally accepted."
	31	hypothesis	"Beecher's reputation as a preacher, let alone as a Man of God, was not appreciated by his wife and family."
	31	relation	1 (neutral)
let-alone	32	premise	"Beecher's reputation as a preacher, let alone as a Man of God, was not universally accepted."
	32	hypothesis	Beecher's reputation as a Man of God was universally accepted.
	32	relation	2 (contradiction)
let-alone	33	premise	"Beecher's reputation as a preacher, let alone as a Man of God, was not universally accepted."
	33	hypothesis	"Beecher has a reputation that isn't widely accepted as a preacher, or even a Man of God."
	33	relation	0 (entailment)
let-alone	25	premise	"How many modern Prime Ministers could recall such exploits in their past, let alone dare to boast about them?"
	25	hypothesis	"Modern Prime Ministers are better at recalling their exploits, whereas past Prime Ministers were more boastful."
	25	relation	1 (neutral)
let-alone	26	premise	"How many modern Prime Ministers could recall such exploits in their past, let alone dare to boast about them?"
	26	hypothesis	Most Prime Ministers would love to boast about their salacious past and recall them with others.
	26	relation	2 (contradiction)
let-alone	27	premise	"How many modern Prime Ministers could recall such exploits in their past, let alone dare to boast about them?"
	27	hypothesis	It is more likely that a modern Prime Minister could recall such exploits in their past than it is likely for them to boast about those exploits.
	27	relation	0 (entailment)
let-alone	22	premise	"It's unsurprising that such an attitude failed to produce competent screenwriters, let alone exciting ones."
	22	hypothesis	One's attitude could be associated with the failure of producing competent and exciting screenwriters.
	22	relation	1 (neutral)
let-alone	23	premise	"It's unsurprising that such an attitude failed to produce competent screenwriters, let alone exciting ones."
	23	hypothesis	"Although such an attitude failed to produce competent screenwriters, it produced plenty of exciting screenwriters."
	23	relation	2 (contradiction)
let-alone	24	premise	"It's unsurprising that such an attitude failed to produce competent screenwriters, let alone exciting ones."
	24	hypothesis	It's unsurprising that such an attitude failed to produce exciting screenwriters.
	24	relation	0 (entailment)
way-manner	67	premise	But Mum just gave them one of her black looks and elbowed her way past the two women and went into Granny's house.
	67	hypothesis	Mum just gave her sisters a mean look for laughing as she elbowed them out of the way into Granny's house.
	67	relation	1 (neutral)
way-manner	68	premise	But Mum just gave them one of her black looks and elbowed her way past the two women and went into Granny's house.
	68	hypothesis	But Mum just gave them the biggest smile and hugged the two women as she went into Granny's house.
	68	relation	2 (contradiction)
way-manner	69	premise	But Mum just gave them one of her black looks and elbowed her way past the two women and went into Granny's house.
	69	hypothesis	My Mum shoved her way past the two ladies and gave them one of her sour looks as she went into Granny's house
	69	relation	0 (entailment)
way-manner	37	premise	"If this were to happen, would it not be unfair that other prisoners that do not have the means to pay and have committed 'lesser' crimes have to serve longer than those that can 'BUY' their way out of jail, so to speak?"
	37	hypothesis	"If this were to happen, would it not be unfair that rich people, who tend to commit 'lesser' crimes, would have to serve in their local jails with much longer wait times to speak with their lawyers outside of jail?"
	37	relation	1 (neutral)
way-manner	38	premise	"If this were to happen, would it not be unfair that other prisoners that do not have the means to pay and have committed 'lesser' crimes have to serve longer than those that can 'BUY' their way out of jail, so to speak?"
	38	hypothesis	"It would be very fair for even severe criminals to always be able to get out of jail for harsher crimes by having more money than other prisoners, even if others can't afford to do the same."
	38	relation	2 (contradiction)
way-manner	39	premise	"If this were to happen, would it not be unfair that other prisoners that do not have the means to pay and have committed 'lesser' crimes have to serve longer than those that can 'BUY' their way out of jail, so to speak?"
	39	hypothesis	It would be quite unfair for other prisoners with less financial status and who have committed petty crimes to have to serve longer sentences than those that can buy their way out of their sentences.
	39	relation	0 (entailment)
